URL,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,,,,,,,,,,,,,
https://www.rediff.com/,Textfield = Enter company or MF,Link = Create account,Textfield = Full Name	:,Checkbox = Click if you don't have an alternate ID,Textfield = Mobile No.,Radio = Gender,Textfield = Choose a Rediffmail ID,Button = Create my account >>,Textfield = Password	:,Textfield = Retype password	:,,,,,,,,,,,,
https://gaana.com/subscribe/buy-gaana-plus,Radio = 1 MONTH GAANA PLUS,Button = Pay now,Button = Phone number,Textfield = 9696969696,Button = Get OTP,,,,,,,,,,,,,,,,,
https://www.mediafire.com/,Link = I Accept,Link = Sign up,Button = Get Pro,Radio = Monthly,Button = Continue,Textfield = Email,Textfield = First name,Textfield = Last name,Textfield=Password,Checkbox = Download content,Checkbox = I have read and agree to the Privacy Policy and Terms of Service.,Checkbox = I'm not a robot,,,,,,,,,,
https://www.wikipedia.org/,Link = English,Link = Create account,Textfield=Username,Textfield=Password,Textfield=Enter password again,Textfield=Enter your email address,Button = Create your account,Textfield=Enter the text you see on the image,Link = Request an account,Link = Log in,Checkbox = Keep me logged in (for up to 365 days),Button = Log in,Link = Help with logging in,Textfield = Search MediaWiki,Link = Talk,Textfield = Start a new topic,Textarea = Post a new message to ""User talk:49.37.196.48"",Button = Cancel,,,,
https://twitter.com/,Link = Sign up,Textfield = Name,Textfield = Phone,Link = Use email instead,,,,,,,,,,,,,,,,,,
https://www.zee5.com/,Link = Sign up for free,Textfield = Email id or Mobile number,Textfield = Create Password,Radio = Other,Link = Login,Textfield = Email id or Mobile number,Button = Login,,,,,,,,,,,,,,,
https://www.sbicard.com/eapply/eapply-form.page/apply?path=personal/credit-cards/shopping/simplyclick-sbi-card.dcr,Radio = No,Textfield = First Name,Checkbox = I have read Customer Declaration of SBI Card & understood all its terms and conditions. I con?rm that details given above belong to me and authorize SBICPSL & its a?liates or associates to contact me on the details provided.,Link = Change card,Button = Apply Now,,,,,,,,,,,,,,,,,
https://www.hdfcbank.com/personal/ways-to-bank/online-banking/credit-card-netbanking,Link=Forgot password / IPIN,Link=Reset Pin,Textfield = User ID / Customer ID :,Link = GO,Radio = Authentication with One Time Passwords (OTPs) sent on your registered Mobile No.COMMA and Email ID.,Textfield = Enter the text shown above,Button = Continue,Link = Return to transaction,,,,,,,,,,
https://slack.com/intl/en-in/,Link = CONTACT SALES,Textfield = Your first name,Textfield = Your last name,Textfield = Work email address,Textfield = Company,Textarea = Anything else? (optional),Button = SUBMIT,Link = Visit our help centre,Link = Your email address,Textfield = Or tell us what you need help with:,Textarea = Can you give us more details?,Button = SEND US A MESSAGE,,,,,,,,,,
https://www.spotify.com/in/,Link = Sign up,Textfield = What's your email?,Textfield = Confirm your email,Textfield = Create a password,Textfield = What should we call you?,Radio = Non-binary,Checkbox = Share my registration data with Spotify's content providers for marketing purposes.,Checkbox = I'm not a robot,,,,,,,,,,,,,,
https://www.fresherslive.com/,Link = Recruiter's Zone,Textfield = Email* :,Link = SIGN UP,Textfield = First Name* :,Textfield = Last Name :,Textfield = Designation* :,Textfield = Email* :,Textfield = Password* :,Textfield = Retype Password* :,Textfield = Mobile* :,Textfield = Company Name* :,Radio = Consultant,Textarea = Company Profile* :,Textarea = Company Address* :,Button = LOGIN HERE,Textfield = Email* :,Textfield = Password* :,Link = ------ Forgot Password ------,Button = RECOVER NOW,,,
https://www.magicbricks.com/bricks/User-Registration1,Radio = Buyer/Owner,Radio = Builder,Textfield = Name,Textfield = Email,Textfield = Password,Textfield = Mobile Number,Button = Sign Up,Link = Login now,Textfield = Enter Email ID or Mobile No.,Button = Next,,,,,,,,,,,,
